ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
81WA,heliport,Jobe Skis Plant 1 Heliport,"-122.13600158691406, 47.68539810180664",30,NA,US,US-WA,Redmond,81WA,,81WA
81WI,small_airport,Gunner Field,"-90.17649841308594, 45.0786018371582",1465,NA,US,US-WI,Athens,81WI,,81WI
81XS,heliport,Post Oak Central Heliport,"-95.4646987915039, 29.72909927368164",148,NA,US,US-TX,Houston,81XS,,81XS
82AK,closed,Jim's Landing Airport,"-149.190991, 61.6166",425,NA,US,US-AK,Palmer,,,
82CA,heliport,Sce Moorpark Substation Heliport,"-118.90299987792969, 34.27939987182617",470,NA,US,US-CA,Moorpark,82CA,,82CA
82CD,heliport,Creech Heliport,"-84.31825, 38.081583",1001,NA,US,US-KY,Lexington,82CD,,82CD
82CL,small_airport,Fort Bragg Airport,"-123.79599762, 39.4743003845",71,NA,US,US-CA,Fort Bragg,82CL,FOB,82CL
82CO,heliport,Mountain Bell Heliport,"-108.58399963378906, 39.09749984741211",4580,NA,US,US-CO,Grand Junction,82CO,,82CO
82D,closed,Weiker Airport,"-83.029099, 41.229198",740,NA,US,US-OH,Green Springs,,,
82FD,heliport,Atc Heliport,"-80.0927963256836, 26.98870086669922",6,NA,US,US-FL,Jupiter,82FD,,82FD
82FL,small_airport,Br Ranch Airport,"-80.2052993774414, 26.914199829101562",20,NA,US,US-FL,Jupiter,82FL,,82FL
82GA,small_airport,Paces South Farms Airport,"-82.38529968261719, 32.808799743652344",275,NA,US,US-GA,Wadley,82GA,,82GA
82IN,small_airport,Hunter Airport,"-85.92919921875, 40.981201171875",790,NA,US,US-IN,North Manchester,82IN,,82IN
82IS,small_airport,Landings Condominium Airport,"-88.40290069580078, 42.14310073852539",880,NA,US,US-IL,Huntley,82IS,,82IS
82KY,small_airport,Woodledge Farm Airport,"-85.48190307617188, 38.28340148925781",680,NA,US,US-KY,Crestwood,82KY,,82KY
82LA,small_airport,Fisher's Field,"-89.93280029296875, 29.93239974975586",5,NA,US,US-LA,Chalmette,82LA,,82LA
82LL,small_airport,Cheechako Airport,"-88.99230194091797, 42.12950134277344",860,NA,US,US-IL,Monroe Center,82LL,,82LL
82MO,heliport,Cameron Community Hospital Heliport,"-94.2189417, 39.7304556",1016,NA,US,US-MO,Cameron,82MO,,82MO
82MU,heliport,Ktts Heliport,"-93.32319641113281, 37.1963996887207",1248,NA,US,US-MO,Springfield,82MU,,82MU
82NC,small_airport,Pineview Air Airport,"-79.07330322265625, 35.308101654052734",300,NA,US,US-NC,Sanford,82NC,,82NC
82NH,heliport,Summit Meadow Heliport,"-71.915167, 42.896267",1018,NA,US,US-NH,Peterborough,82NH,,82NH
82NJ,heliport,Graphic Scanning Corporation Heliport,"-73.99120330810547, 40.886199951171875",10,NA,US,US-NJ,West Englewood,82NJ,,82NJ
82NM,small_airport,Skeen Ranch Airport,"-105.13400268554688, 33.170101165771484",5524,NA,US,US-NM,Picacho,82NM,,82NM
82NY,small_airport,Silvernails Field,"-73.67111, 42.001389",571,NA,US,US-NY,Gallatin,82NY,,82NY
82OH,small_airport,Rocky Ridge Airpark,"-83.77130126953125, 41.5078010559082",650,NA,US,US-OH,Waterville,82OH,,82OH
82OI,small_airport,J-Em Farm Airport,"-83.27490234375, 40.15420150756836",1005,NA,US,US-OH,Columbus,82OI,,82OI
82OK,heliport,St John Sapulpa Hospital Heliport,"-96.0919036865, 36.0000991821",750,NA,US,US-OK,Sapulpa,82OK,,82OK
82OR,small_airport,Lost Creek Airport,"-122.81700134277344, 43.89929962158203",700,NA,US,US-OR,Dexter,82OR,,82OR
82PA,small_airport,Frame Field,"-80.3052978515625, 40.39670181274414",1210,NA,US,US-PA,Candor,82PA,,82PA
82TA,heliport,Gellhorn Pad Heliport,"-95.26850128173828, 29.780799865722656",40,NA,US,US-TX,Houston,82TA,,82TA
82TE,closed,Tarry Bank Airport,"-98.707498, 29.691602",1380,NA,US,US-TX,Leon Springs,,,
82TS,small_airport,Elmdale Airpark,"-99.650398254395, 32.450099945068",1775,NA,US,US-TX,Abilene,82TS,,82TS
82TX,heliport,St Joseph Hospital Heliport,"-96.34750366210938, 30.657100677490234",320,NA,US,US-TX,Bryan,82TX,,82TX
82VA,small_airport,Root Field,"-78.96920013427734, 38.17319869995117",1290,NA,US,US-VA,Verona,82VA,,82VA
82WA,heliport,Kittitas Valley Healthcare Heliport,"-120.5378194, 46.9876555",1597,NA,US,US-WA,Ellensburg,82WA,,82WA
82WI,small_airport,Triple S Ranch Airport,"-87.81439971923828, 44.149200439453125",855,NA,US,US-WI,Whitelaw,82WI,,82WI
82XS,small_airport,Circle P Ranch Airport,"-98.2166976928711, 29.102699279785156",500,NA,US,US-TX,Floresville,82XS,,82XS
83AK,small_airport,Tolovana Hot Springs Airport,"-148.8300018310547, 65.25650024414062",800,NA,US,US-AK,Fairbanks,83AK,,83AK
83B,seaplane_base,Northern Maine Regional Seaplane Base,"-68.06109619140625, 46.70750045776367",500,NA,US,US-ME,Presque Isle,83B,,83B
83CA,heliport,The Met Heliport,"-117.877966, 33.688469",204,NA,US,US-CA,Costa Mesa,83CA,,83CA
83CO,heliport,Snake River Health Services Inc Heliport,"-105.95899963378906, 39.60419845581055",9300,NA,US,US-CO,Keystone,83CO,,83CO
83FD,small_airport,Lake Montaza Airport,"-80.81529998779297, 27.580299377441406",52,NA,US,US-FL,Okeechobee,83FD,,83FD
83FL,small_airport,Nassau Airport,"-81.53369903564453, 30.618799209594727",20,NA,US,US-FL,Yulee,83FL,,83FL
83GA,small_airport,Brock Airpark,"-84.506103515625, 30.99970054626465",130,NA,US,US-GA,Bainbridge,83GA,,83GA
83IA,heliport,Keokuk County Health Center Heliport,"-92.20549774169922, 41.3224983215332",753,NA,US,US-IA,Sigourney,83IA,,83IA
83IL,small_airport,Oltman-Shuck Airport,"-89.10399627685547, 40.892799377441406",736,NA,US,US-IL,Minonk,83IL,,83IL
83IN,small_airport,Goodenough Airport,"-86.00050354003906, 40.73979949951172",685,NA,US,US-IN,Peru,83IN,,83IN
83IS,small_airport,Prairie Airport,"-89.1312026977539, 38.42639923095703",550,NA,US,US-IL,Irvington,83IS,,83IS
83J,small_airport,Coastal Airport,"-87.38529968261719, 30.53190040588379",110,NA,US,US-FL,Pensacola,83J,,83J
83KS,small_airport,Miller Aeroplane Field,"-96.29969787597656, 39.23529815673828",1020,NA,US,US-KS,Wamego,83KS,,83KS
83KY,heliport,Works Heliport,"-84.5447006225586, 38.98109817504883",800,NA,US,US-KY,Erlanger,83KY,,83KY
83L,heliport,Southeast Superior Court Heliport,"-118.072998046875, 33.91360092163086",235,NA,US,US-CA,Norwalk,83L,,83L
83LA,closed,Ledet Airfield,"-90.329498, 29.5555",,NA,US,US-LA,Cut Off,,,
83LL,small_airport,Lindauer Airport,"-89.8551025390625, 38.3036003112793",437,NA,US,US-IL,New Athens,83LL,,83LL
83MI,heliport,St. Joseph Mercy Oakland-Bassett Street Helipad,"-83.27586, 42.612111",980,NA,US,US-MI,Pontiac,83MI,,83MI
83MN,seaplane_base,Ponderosa Seaplane Base,"-93.9894027709961, 46.86309814453125",1316,NA,US,US-MN,Outing,83MN,,83MN
83MO,heliport,North Kansas City Hospital Heliport,"-94.55130004882812, 39.14939880371094",411,NA,US,US-MO,North Kansas City,83MO,,83MO
83MU,small_airport,Dalbom Ultralightport,"-94.21240234375, 36.76900100708008",1130,NA,US,US-MO,Stella,83MU,,83MU
83NC,heliport,Holly Green Heliport,"-78.98809814453125, 35.922298431396484",300,NA,US,US-NC,Durham,83NC,,83NC
83NE,small_airport,Abbott Airport,"-99.75599670410156, 42.32500076293945",2560,NA,US,US-NE,Long Pine,83NE,,83NE
83NJ,heliport,Mac Millan Restricted Helistop,"-74.96070098879999, 40.020401001",29,NA,US,US-NJ,Delran,83NJ,,83NJ
83NM,small_airport,King Ranch Airport,"-108.00599670410156, 34.648101806640625",7143,NA,US,US-NM,Pie Town,83NM,,83NM
83NY,heliport,Norcross Helipad Heliport,"-77.64969635009766, 43.12369918823242",530,NA,US,US-NY,Rochester,83NY,,83NY
83OH,small_airport,Adams Strip,"-84.37940216064453, 40.06230163574219",973,NA,US,US-OH,Pleasent Hill,83OH,,83OH
83OI,heliport,M P W Heliport,"-82.52739715576172, 39.954498291015625",900,NA,US,US-OH,Hebron,83OI,,83OI
83OK,small_airport,Sweetbriar Airport,"-94.5780029296875, 35.25680160522461",560,NA,US,US-OK,Murry Spur,83OK,,83OK
83OR,small_airport,Tamarack Springs Ranch Airport,"-117.47200012207031, 45.50130081176758",3445,NA,US,US-OR,Lostine,83OR,,83OR
83PA,heliport,Mmc Heliport,"-79.61029815673828, 40.31119918823242",1348,NA,US,US-PA,Jeannette,83PA,,83PA
83PN,heliport,Wpxi-Tv Television Hill Heliport,"-80.00460052490001, 40.4632987976",1182,NA,US,US-PA,Pittsburgh,83PN,,83PN
83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,"-122.64700317383, 47.734001159668",0,NA,US,US-WA,Poulsbo,83Q,PUL,83Q
83R,closed,Glen Beicker Ranch Airport,"-97.788299560547, 29.529399871826",465,NA,US,US-TX,Seguin,83R,,83R
83TA,small_airport,Rainbow Field,"-96.60030364990234, 31.900299072265625",365,NA,US,US-TX,Purdon,83TA,,83TA
83TE,small_airport,K Bar Ranch Airport,"-99.493896484375, 29.49690055847168",1208,NA,US,US-TX,Sabinal,83TE,,83TE
83TS,small_airport,Moore Ranch Airport,"-98.4197006225586, 32.426700592041016",1200,NA,US,US-TX,Gordon,83TS,,83TS
83TX,small_airport,Texas A And M Flight Test Station Airport,"-96.48359680179999, 30.6334991455",264,NA,US,US-TX,Bryan,83TX,,83TX
83V,small_airport,Upton Municipal Airport,"-104.64099884033203, 44.09049987792969",4290,NA,US,US-WY,Upton,83V,,83V
83VA,heliport,Medical Heliport,"-76.72250366210938, 37.280399322509766",75,NA,US,US-VA,Williamsburg,83VA,,83VA
83WA,small_airport,Darcy's Air Strip,"-118.16799926757812, 46.0275993347168",2430,NA,US,US-WA,Walla Walla,83WA,,83WA
83WI,small_airport,Jones Airport,"-90.34619903564453, 44.97050094604492",1410,NA,US,US-WI,Dorchester,83WI,,83WI
83XS,heliport,Ball Park Heliport,"-95.61830139160156, 29.674699783325195",90,NA,US,US-TX,Houston,83XS,,83XS
84AK,heliport,T-Time Heliport,"-149.33453, 61.587245",375,NA,US,US-AK,Wasilla,84AK,,84AK
84AL,small_airport,Blessings Landing Air Ranch,"-85.52705, 31.3031",400,NA,US,US-AL,Pinckard,84AL,,84AL
84C,small_airport,Valhalla Airport,"-88.0426025390625, 42.76250076293945",805,NA,US,US-WI,North Cape,84C,,84C
84CA,heliport,Beverly Center Heliport,"-118.37699890136719, 34.07389831542969",278,NA,US,US-CA,Los Angeles,84CA,,84CA
84CL,heliport,Century City Heliport,"-118.417999268, 34.060798645",473,NA,US,US-CA,Los Angeles,84CL,CCD,84CL
84CO,heliport,Rampart Heliport,"-104.841906, 39.344239",6480,NA,US,US-CO,Castle Rock,84CO,,84CO
84FD,heliport,North Port Ems Heliport,"-82.23629760742188, 27.046100616455078",14,NA,US,US-FL,North Port,84FD,,84FD
84FL,heliport,Capeletti Heliport,"-80.29979705810547, 25.925399780273438",7,NA,US,US-FL,Hialeah,84FL,,84FL
84G,heliport,Cobo Hall Heliport,"-83.0479965209961, 42.32590103149414",650,NA,US,US-MI,Detroit,84G,,84G
84GA,heliport,Screven Ems Heliport,"-81.6720962524414, 32.750999450683594",250,NA,US,US-GA,Sylvania,84GA,,84GA
84ID,heliport,Shetler'S Heliport,"-114.5454, 42.54325",3848,NA,US,US-ID,Twin Falls,84ID,,84ID
84IL,small_airport,Rossi's Farm Airport,"-88.27780151367188, 41.50699996948242",580,NA,US,US-IL,Minooka,84IL,,84IL
84IN,heliport,Kosciusko Community Hospital Heliport,"-85.82890319824219, 41.247798919677734",839,NA,US,US-IN,Warsaw,84IN,,84IN
84IS,heliport,Passavant Area Hospital Heliport,"-90.25070190429688, 39.74869918823242",604,NA,US,US-IL,Jacksonville,84IS,,84IS
84K,seaplane_base,Meyers Chuck Seaplane Base,"-132.255004883, 55.7396011353",0,NA,US,US-AK,Meyers Chuck,84K,WMK,84K
84KY,closed,Greene County Parachute Center Airport,"-85.540002, 37.8153",650,NA,US,US-KY,Bardstown,,,
84L,heliport,Norwalk Sheriff Station Heliport,"-118.06999969482422, 33.913299560546875",101,NA,US,US-CA,Norwalk,84L,,84L
84LA,small_airport,Touchstone Ridge Ultralightport,"-93.59320068359375, 32.55289840698242",180,NA,US,US-LA,Haughton,84LA,,84LA
84MI,small_airport,Timbers Sky Camp Airport,"-83.88189697265625, 44.46950149536133",945,NA,US,US-MI,South Branch,84MI,,84MI
84MN,small_airport,Nielsville Airport,"-96.83090209960938, 47.53329849243164",869,NA,US,US-MN,Nielsville,84MN,,84MN
84MO,heliport,Holiday Inn Westport Heliport,"-90.44869995117188, 38.69390106201172",600,NA,US,US-MO,St Louis,84MO,,84MO
84MT,closed,Shimmon Airport,"-114.050214, 46.280813",3920,NA,US,US-MT,Corvallis,,,
84NC,small_airport,Rooster Field,"-79.248611, 35.273333",340,NA,US,US-NC,Cameron,84NC,,84NC
84ND,small_airport,Kyllo Airport,"-97.75700378417969, 48.00080108642578",1150,NA,US,US-ND,Mc Canna,84ND,,84ND
84NJ,heliport,Edison Square Heliport,"-74.39179992675781, 40.52320098876953",107,NA,US,US-NJ,Edison,84NJ,,84NJ
84NK,heliport,St. Luke's Cornwall Hospital Heliport,"-74.041111, 41.434583",264,NA,US,US-NY,Cornwall,84NK,,84NK
84NM,small_airport,Nalda Ranch Airport,"-108.16200256347656, 34.35340118408203",7531,NA,US,US-NM,Pie Town,84NM,,84NM
84NY,small_airport,Skyview Airport,"-77.61250305175781, 42.98619842529297",642,NA,US,US-NY,Rush,84NY,,84NY
84OH,small_airport,Hanshell Flying Apple Airport,"-83.6510009765625, 39.581199645996094",1055,NA,US,US-OH,Octa,84OH,,84OH
84OI,heliport,Grant Lifeflight 2 Heliport,"-82.53820037841797, 39.125099182128906",716,NA,US,US-OH,Wellston,84OI,,84OI
84OK,closed,Collier Farms Airport,"-99.053201, 35.938901",1740,NA,US,US-OK,Taloga,,,
84OL,small_airport,Cotton Field,"-95.7655029296875, 36.11040115356445",685,NA,US,US-OK,Broken Arrow,84OL,,84OL
84OR,small_airport,B Bar Ranch Airport,"-123.56999969482422, 42.24760055541992",1400,NA,US,US-OR,Selma,84OR,,84OR
84PA,heliport,Ged Heliport,"-75.82630157470703, 40.30929946899414",440,NA,US,US-PA,Birdsboro,84PA,,84PA
84PN,small_airport,Draco STOLport,"-76.5354995727539, 39.752601623535156",625,NA,US,US-PA,Stewartstown,84PN,,84PN
84TA,heliport,Allied Northborough Heliport,"-95.41940307617188, 29.957399368286133",200,NA,US,US-TX,Houston,84TA,,84TA
84TE,small_airport,W4 Ranch Airport,"-97.543181, 31.988067",833,NA,US,US-TX,Morgan,84TE,,84TE
84TS,heliport,Tourist Ride Services Heliport,"-94.8646011352539, 29.2460994720459",18,NA,US,US-TX,Galveston,84TS,,84TS
84TX,small_airport,Camp Longhorn Airport,"-98.37860107421875, 30.741300582885742",934,NA,US,US-TX,Buchanan Dam,84TX,,84TX
84U,heliport,Butte Aero Heliport,"-112.49700164794922, 45.95330047607422",5553,NA,US,US-MT,Butte,84U,,84U
84VA,heliport,Cia Headquarters Heliport,"-77.15249633789062, 38.95289993286133",255,NA,US,US-VA,Langley,84VA,,84VA
84WA,small_airport,D and B Airpark,"-123.38400268554688, 46.972900390625",55,NA,US,US-WA,Elma,84WA,,84WA
84WI,heliport,Lutheran Hospital - La Crosse Heliport,"-91.2473983765, 43.792999267599996",656,NA,US,US-WI,La Crosse,84WI,,84WI
84WY,small_airport,Moore Ranch Airport,"-105.743055, 43.446111",5027,NA,US,US-WY,Douglas,84WY,,84WY
84XS,small_airport,Lang Ranch Airport,"-99.398889, 30.255",2200,NA,US,US-TX,Mountain Home,84XS,,84XS
84Y,small_airport,Bloomfield Municipal Airport,"-97.67369842529297, 42.5797004699707",1673,NA,US,US-NE,Bloomfield,84Y,,84Y
85AK,seaplane_base,Marion Seaplane Base,"-149.908611, 61.509167",150,NA,US,US-AK,Big Lake,85AK,,85AK
85B,seaplane_base,Shin Pond Seaplane Base,"-68.56199645996094, 46.10419845581055",780,NA,US,US-ME,Patten,85B,,85B
85CA,heliport,Redwood Coast Medical Services Heliport,"-123.52999877929688, 38.77069854736328",135,NA,US,US-CA,Gualala,85CA,,85CA
85CO,heliport,Anderson Heliport,"-105.16200256347656, 40.11249923706055",5160,NA,US,US-CO,Niwot,85CO,,85CO
85FA,small_airport,North Exuma Airport,"-81.27760314941406, 29.094900131225586",62,NA,US,US-FL,Deland,85FA,,85FA
85FD,heliport,Florida Hospital Kissimmee Heliport,"-81.40589904785156, 28.31529998779297",81,NA,US,US-FL,Kissimmee,85FD,,85FD
85FL,small_airport,Thomas Farms Airport,"-87.05159759521484, 30.96929931640625",215,NA,US,US-FL,Jay,85FL,,85FL
85GA,small_airport,Aiken Field,"-83.73100280761719, 34.172298431396484",1020,NA,US,US-GA,Talmo,85GA,,85GA
85IA,small_airport,Henry Airport,"-92.69740295410156, 43.1786003112793",1125,NA,US,US-IA,Floyd,85IA,,85IA
85IL,small_airport,Durbin Airport,"-88.63590240478516, 39.637298583984375",664,NA,US,US-IL,Sullivan,85IL,,85IL
85IN,small_airport,Leak Airport,"-87.50499725341797, 40.43389892578125",720,NA,US,US-IN,Tab,85IN,,85IN
85KS,small_airport,Sanders Airport,"-95.2145004272461, 39.30099868774414",1070,NA,US,US-KS,Winchester,85KS,,85KS
85KY,small_airport,Deer Run Airpark,"-85.13860321044922, 38.470298767089844",890,NA,US,US-KY,New Castle,85KY,,85KY
85LA,heliport,Transco Kaplan Heliport,"-92.28230285644531, 29.981300354003906",65,NA,US,US-LA,Kaplan,85LA,,85LA
85LL,small_airport,Wormley Airport,"-88.26229858398438, 41.68389892578125",680,NA,US,US-IL,Oswego,85LL,,85LL
85MA,heliport,Lahey Clinic Heliport,"-71.201625, 42.484764",241,NA,US,US-MA,Burlington,85MA,,85MA
85MI,small_airport,Dewind Field,"-86.01380157470703, 42.93230056762695",640,NA,US,US-MI,Zeeland,85MI,,85MI
85MN,small_airport,Christison Airport,"-92.20210266113281, 44.158599853515625",1175,NA,US,US-MN,Plainview,85MN,,85MN
85MO,small_airport,Willhite Airport,"-92.32240295410156, 37.875",1022,NA,US,US-MO,Swedeborg,85MO,,85MO
85N,small_airport,Hollands International Field,"-78.7677993774414, 43.266700744628906",360,NA,US,US-NY,Newfane,85N,,85N
85NC,small_airport,Reagans Roost Ultralightport,"-83.16680145263672, 35.42919921875",2080,NA,US,US-NC,Whittier,85NC,,85NC
85NE,small_airport,Meyers Freedom Flight Hardy Airport,"-97.94200134277344, 40.02080154418945",1624,NA,US,US-NE,Hardy,85NE,,85NE
85NJ,heliport,Webcraft Heliport,"-74.4937973022461, 40.446800231933594",115,NA,US,US-NJ,North Brunswick,85NJ,,85NJ
85NM,heliport,Playas Medical Building Heliport,"-108.53399658203125, 31.914499282836914",4506,NA,US,US-NM,Playas,85NM,,85NM
85NY,small_airport,High Acres Airport,"-78.5199966430664, 42.578399658203125",1540,NA,US,US-NY,Sardinia,85NY,,85NY
85OH,small_airport,Tounshendeaux Airport,"-80.9469985961914, 41.413700103759766",838,NA,US,US-OH,West Farmington,85OH,,85OH
85OI,heliport,Children's Hospital Heliport,"-81.52760314941406, 41.08620071411133",950,NA,US,US-OH,Akron,85OI,,85OI
85OK,heliport,Red Stevenson Property Heliport,"-95.00019836425781, 36.4833984375",765,NA,US,US-OK,Tijuana,85OK,,85OK
85OL,small_airport,Huscher Field,"-98.59559631347656, 34.61949920654297",1242,NA,US,US-OK,Cache,85OL,,85OL
85OR,small_airport,Allen's Airstrip,"-121.04900360107422, 42.404598236083984",4410,NA,US,US-OR,Bly,85OR,,85OR
85PA,small_airport,Krumenacker Airport,"-78.77839660644531, 40.59510040283203",2040,NA,US,US-PA,Carrolltown,85PA,,85PA
85PN,small_airport,Kiski Airport,"-79.60530090332031, 40.579200744628906",1280,NA,US,US-PA,Vandergrift,85PN,,85PN
85TA,closed,J-Bar Ranch Airport,"-96.812401, 33.579899",718,NA,US,US-TX,Collinsville,,,
85TE,small_airport,Old Kingsbury Aerodrome,"-97.81169891357422, 29.634199142456055",560,NA,US,US-TX,Kingsbury,85TE,,85TE
85TS,heliport,American Eurocopter Heliport,"-97.048103, 32.702099",588,NA,US,US-TX,Grand Prairie,85TS,,85TS
85TX,small_airport,Rutherford Ranch Airport,"-97.9655990600586, 30.077699661254883",983,NA,US,US-TX,Buda,85TX,,85TX
85U,small_airport,Soldier Bar US Forest Service Airport,"-114.799404, 45.104486",4190,NA,US,US-ID,Soldier Bar,,,85U
85V,small_airport,Ganado Airport,"-109.51000213623047, 35.70140075683594",6662,NA,US,US-AZ,Ganado,85V,,85V
85VA,seaplane_base,Land's End Seaplane Base,"-76.24669647216797, 37.853599548339844",,NA,US,US-VA,Reedville,85VA,,85VA
85WA,small_airport,Scott Seed Farm Airport,"-117.76499938964844, 46.5265007019043",1866,NA,US,US-WA,Pomeroy,85WA,,85WA
85WI,small_airport,Cub Bear Airport,"-92.29280090332031, 45.04439926147461",1240,NA,US,US-WI,Emerald,85WI,,85WI
85XS,heliport,Marine Consultants Inc Heliport,"-95.27410125732422, 29.706100463867188",50,NA,US,US-TX,Houston,85XS,,85XS
86AK,seaplane_base,Hoppe'S Seaplane Base,"-149.94575, 61.551431",180,NA,US,US-AK,Big Lake,86AK,,86AK
86AR,small_airport,Goacher Airport,"-91.95429992675781, 34.82929992675781",235,NA,US,US-AR,Lonoke,86AR,,86AR
86CA,heliport,Valley Medical Center Heliport,"-119.75399780273438, 36.73720169067383",307,NA,US,US-CA,Fresno,86CA,,86CA
86CL,small_airport,Ernst Field,"-116.88300323486328, 33.597198486328125",2860,NA,US,US-CA,Hemet,86CL,,86CL
86CN,heliport,Mercy Medical Center Merced Heliport,"-120.466636, 37.340819",194,NA,US,US-CA,Merced,86CN,,86CN
86CO,small_airport,Lazy W Airport,"-105.1449966430664, 40.3135986328125",5200,NA,US,US-CO,Berthoud,86CO,,86CO
86FD,small_airport,Country Landings Airport,"-82.89640045166016, 29.764699935913086",55,NA,US,US-FL,Bell,86FD,,86FD
86FL,heliport,Lake Shore Hospital Heliport,"-82.63009643554688, 30.193300247192383",190,NA,US,US-FL,Lake City,86FL,,86FL
86GA,small_airport,Flying G Ranch Airport,"-85.06109619140625, 34.86790084838867",845,NA,US,US-GA,Tunnel Hill,86GA,,86GA
86IL,small_airport,Sharp Airport,"-88.764444, 39.681667",674,NA,US,US-IL,Bethany,86IL,,86IL
86IN,heliport,Washington County Hospital Heliport,"-86.10690307617188, 38.61330032348633",776,NA,US,US-IN,Salem,86IN,,86IN
86IS,small_airport,Michael Pfister Airport,"-89.25779724121094, 40.77939987182617",805,NA,US,US-IL,Roanoke,86IS,,86IS
86KS,small_airport,Weiss Airport,"-94.82469940185547, 38.7057991027832",1031,NA,US,US-KS,Spring Hill,86KS,,86KS
86KY,small_airport,Hornback Airport,"-85.79219818115234, 37.62139892578125",760,NA,US,US-KY,Hodgenville,86KY,,86KY
86LA,small_airport,Spring Airport,"-90.66570281982422, 30.973800659179688",400,NA,US,US-LA,Kentwood,86LA,,86LA
86MI,small_airport,Downwind Acres Airport,"-83.56739807128906, 42.152801513671875",683,NA,US,US-MI,Willis,86MI,,86MI
86MN,heliport,Minn D O T Heliport,"-92.50569915771484, 44.072200775146484",1024,NA,US,US-MN,Rochester,86MN,,86MN
86MO,heliport,Bothwell Regional Health Center Heliport,"-93.22239685058594, 38.69860076904297",898,NA,US,US-MO,Sedalia,86MO,,86MO
86NC,small_airport,Craig Craft Airport,"-76.49330139160156, 36.26359939575195",14,NA,US,US-NC,Hertford,86NC,,86NC
86NE,small_airport,Orum Aerodrome,"-96.2739028930664, 41.54169845581055",1320,NA,US,US-NE,Blair,86NE,,86NE
86NJ,heliport,Hercules Inc. Heliport,"-74.3339996338, 40.4519996643",90,NA,US,US-NJ,Sayerville,86NJ,,86NJ
86NY,heliport,East Farm Heliport,"-73.155689, 40.913264",10,NA,US,US-NY,Head Of The Harbor,86NY,,86NY
86OH,small_airport,Westfield Airport,"-81.92009735107422, 41.01279830932617",1044,NA,US,US-OH,Westfield Center,86OH,,86OH
86OI,heliport,Belcan Heliport,"-84.38829803466797, 39.2578010559082",780,NA,US,US-OH,Blue Ash,86OI,,86OI
86OK,heliport,St Francis Vinita Heliport,"-95.156666, 36.653438",700,NA,US,US-OK,Vinita,86OK,,86OK
86OR,heliport,Amber Glen Business Center Hp Heliport,"-122.88300323486328, 45.530399322509766",200,NA,US,US-OR,Beaverton,86OR,,86OR
86PA,heliport,7D Farms Heliport,"-78.30059814453125, 40.644500732421875",1080,NA,US,US-PA,Tipton,86PA,,86PA
86PN,small_airport,Seesholtz Airport,"-76.3552017211914, 41.044498443603516",730,NA,US,US-PA,Bloomsburg,86PN,,86PN
86TA,small_airport,Slaughter Ranch Airport,"-98.29750061035156, 30.612699508666992",890,NA,US,US-TX,Marble Falls,86TA,,86TA
86TE,small_airport,Matthews Ranch Airport,"-98.14730072021484, 32.649898529052734",835,NA,US,US-TX,Santo,86TE,,86TE
86TS,small_airport,Fairway Farm Airport,"-94.03350067138672, 31.48349952697754",360,NA,US,US-TX,San Augustine,86TS,,86TS
86TX,small_airport,Flying J Airport,"-98.37889862060547, 29.737199783325195",1055,NA,US,US-TX,Bulverde,86TX,,86TX
86VA,heliport,Newport News General Hospital Heliport,"-76.42469787597656, 36.999900817871094",19,NA,US,US-VA,Newport News,86VA,,86VA
86WA,small_airport,Kapowsin Field,"-122.23600006103516, 47.00400161743164",720,NA,US,US-WA,Kapowsin,86WA,,86WA
86WI,small_airport,Bakers Field,"-89.87010192871094, 42.82529830932617",875,NA,US,US-WI,Blanchardville,86WI,,86WI
86XS,small_airport,Gesin Ranches Airport,"-100.36699676513672, 32.40010070800781",2200,NA,US,US-TX,Sweetwater,86XS,,86XS
87AK,small_airport,Soloy Strip,"-149.28799438476562, 61.6515007019043",545,NA,US,US-AK,Wasilla,87AK,,87AK
87B,seaplane_base,Portage Lake Municipal Seaplane Base,"-68.48079681396484, 46.76029968261719",608,NA,US,US-ME,Portage Lake,87B,,87B
87CA,closed,Swanson Ranch Nr 1 Airport,"-119.617995, 36.399899",248,NA,US,US-CA,Hanford,,,
87CL,heliport,City National Plaza Heliport,"-118.25700378417969, 34.05139923095703",980,NA,US,US-CA,Los Angeles,87CL,,87CL
87CN,heliport,Honda of Santa Ana Heliport,"-117.83599853515625, 33.72710037231445",113,NA,US,US-CA,Santa Ana,87CN,,87CN
87CO,small_airport,Young's Strip,"-104.41600036621094, 39.69110107421875",5650,NA,US,US-CO,Bennett,87CO,,87CO
87FD,heliport,Palm Beach Gardens Medical Center Heliport,"-80.08570098876953, 26.829299926757812",14,NA,US,US-FL,Palm Beach Gardens,87FD,,87FD
87FL,heliport,King Heliport,"-82.74359893798828, 28.252500534057617",8,NA,US,US-FL,New Port Richey,87FL,,87FL
87GA,heliport,Tanner Medical Center/Villa Rica Heliport,"-85.92410278320312, 33.73619842529297",1000,NA,US,US-GA,Villa Rica,87GA,,87GA
87IL,small_airport,Bushby RLA Restricted Landing Area,"-88.2667007446, 41.516700744599994",580,NA,US,US-IL,Minooka,87IL,,87IL
87IN,small_airport,May's Strip,"-86.4697036743164, 41.452999114990234",715,NA,US,US-IN,Walkerton,87IN,,87IN
